,G,MIN,PTS,FGM,FGA,FGP,FTM,FTA,FTP,3PM,3PA,3PP,ORB,DRB,TRB,AST,STL,BLK,TO,PF
G,1.0,0.18686607549785159,0.06309907502362824,0.03992195433360854,-0.05958050533089845,0.18087541413017244,-0.011055736442072934,0.009983184377396377,0.03946855469357163,0.13876173421605786,0.10613156675378914,0.124934868437837,0.0548762302876355,0.11533032260314402,0.09567975836127256,0.1424409095564736,-0.03383761556557513,0.1255870084625806,-0.051218320915471356,-0.02837237788146988
MIN,0.18686607549785159,1.0,0.40388328451055894,0.2974200870265519,0.41310077665353023,-0.21801106736013323,0.2655620122614938,0.18187840729214386,0.22384508412890317,0.13441284948433718,0.13073400480437075,0.10679467353640071,-0.07328138518986932,0.04916501573134634,0.005782859244356611,0.27515056192298026,0.3312949623633413,-0.0664429728155621,0.3169040648992994,-0.3876090168320951
PTS,0.06309907502362824,0.40388328451055894,1.0,0.8522605401884632,0.8283916577194324,0.06716060427232312,0.6677855538265627,0.6114092294322507,0.03049012515702773,0.028281076688258223,0.04499023401246887,0.007157228057854877,0.007551900024913918,0.24915867292711186,0.17326111911895997,0.22079512721547565,0.36169739956063607,0.23680241343833397,0.34330391218054795,-0.1502327933412021
FGM,0.03992195433360854,0.2974200870265519,0.8522605401884632,1.0,0.8710490149656311,0.26811777615851085,0.2811193335848723,0.2921597265213171,-0.1283299248738523,-0.23319114605734004,-0.21546737822390608,-0.09098044280910941,0.23089875503565452,0.38027697825375817,0.34429879935640134,0.10619794469698722,0.21772042114140117,0.33022385130553267,0.14020493945531953,-0.11718791396205785
FGA,-0.05958050533089845,0.41310077665353023,0.8283916577194324,0.8710490149656311,1.0,-0.23321190445489162,0.24964095305802328,0.17399901876212148,0.11344473082527418,0.0971392867851268,0.135048281462441,-0.023220922865180075,-0.09673444212658325,0.07660167947417792,0.020818173089000466,0.17240681810590436,0.3275773275790703,-0.0006941467484902251,0.15799777578626023,-0.23565217266180669
FGP,0.18087541413017244,-0.21801106736013323,0.06716060427232312,0.26811777615851085,-0.23321190445489162,1.0,0.06915820543456193,0.2542348580737401,-0.5240970394792261,-0.6372418019794553,-0.6739938421605081,-0.16103576338464726,0.6629322590222709,0.6145293719974793,0.654599120913508,-0.16052839926441723,-0.22892763324332896,0.6757262484937766,-0.016608637041643896,0.25830103934320875
FTM,-0.011055736442072934,0.2655620122614938,0.6677855538265627,0.2811193335848723,0.24964095305802328,0.06915820543456193,1.0,0.9463653378274007,-0.03253444928878613,-0.144279493555757,-0.13095748703852145,-0.018012301309636523,0.011582410709798584,0.24017570978644986,0.16545914923435429,0.2317738968831342,0.299572390582155,0.23440222259044788,0.539411289963451,0.032845458243640054
FTA,0.009983184377396377,0.18187840729214386,0.6114092294322507,0.2921597265213171,0.17399901876212148,0.2542348580737401,0.9463653378274007,1.0,-0.3343827020800483,-0.28576219643678974,-0.2673143178938501,-0.2084222383697992,0.21060830080234771,0.39641718837555956,0.3420487601789036,0.1552285558909984,0.26171591544970235,0.4211667243635957,0.5249129380318701,0.11582903939119174
FTP,0.03946855469357163,0.22384508412890317,0.03049012515702773,-0.1283299248738523,0.11344473082527418,-0.5240970394792261,-0.03253444928878613,-0.3343827020800483,1.0,0.5297982844412646,0.4985978240974259,0.6041573272059686,-0.6151594830907866,-0.5308266677352348,-0.5797978497299374,0.20050094692935913,0.06721096591434102,-0.5412539600227897,-0.024147762804920633,-0.2545168176385764
3PM,0.13876173421605786,0.13441284948433718,0.028281076688258223,-0.23319114605734004,0.0971392867851268,-0.6372418019794553,-0.144279493555757,-0.28576219643678974,0.5297982844412646,1.0,0.985722510694677,0.31140046174532987,-0.6370581646274822,-0.5868550804265577,-0.6282408938142675,0.09331799855509917,0.16468364300165134,-0.48828770017173884,-0.10559659349245938,-0.2548500152672545
3PA,0.10613156675378914,0.13073400480437075,0.04499023401246887,-0.21546737822390608,0.135048281462441,-0.6739938421605081,-0.13095748703852145,-0.2673143178938501,0.4985978240974259,0.985722510694677,1.0,0.2846768648571552,-0.6535722709617527,-0.6117083125594129,-0.6508711670016443,0.15782710108316447,0.2406041913634245,-0.5179966547704654,-0.05977255123778221,-0.2713270121327523
3PP,0.124934868437837,0.10679467353640071,0.007157228057854877,-0.09098044280910941,-0.023220922865180075,-0.16103576338464726,-0.018012301309636523,-0.2084222383697992,0.6041573272059686,0.31140046174532987,0.2846768648571552,1.0,-0.31204564853784733,-0.2507111035852641,-0.2784806034204055,0.035686006718827726,-0.04227388661428216,-0.2560876512445697,0.09533252340653199,-0.06736764116498382
ORB,0.0548762302876355,-0.07328138518986932,0.007551900024913918,0.23089875503565452,-0.09673444212658325,0.6629322590222709,0.011582410709798584,0.21060830080234771,-0.6151594830907866,-0.6370581646274822,-0.6535722709617527,-0.31204564853784733,1.0,0.8459005275015725,0.9343402704217841,-0.4557486821737539,-0.32843722917564433,0.742340873937115,-0.12852466775921925,0.4118997653522607
DRB,0.11533032260314402,0.04916501573134634,0.24915867292711186,0.38027697825375817,0.07660167947417792,0.6145293719974793,0.24017570978644986,0.39641718837555956,-0.5308266677352348,-0.5868550804265577,-0.6117083125594129,-0.2507111035852641,0.8459005275015725,1.0,0.9801480865136379,-0.396332978808143,-0.2650064221133855,0.7727074576479036,0.030852651417586426,0.43069665919696165
TRB,0.09567975836127256,0.005782859244356611,0.17326111911895997,0.34429879935640134,0.020818173089000466,0.654599120913508,0.16545914923435429,0.3420487601789036,-0.5797978497299374,-0.6282408938142675,-0.6508711670016443,-0.2784806034204055,0.9343402704217841,0.9801480865136379,1.0,-0.43346336108320666,-0.3026608848784627,0.7909287770918781,-0.02843047357525604,0.4347591461032276
AST,0.1424409095564736,0.27515056192298026,0.22079512721547565,0.10619794469698722,0.17240681810590436,-0.16052839926441723,0.2317738968831342,0.1552285558909984,0.20050094692935913,0.09331799855509917,0.15782710108316447,0.035686006718827726,-0.4557486821737539,-0.396332978808143,-0.43346336108320666,1.0,0.6246537350689837,-0.32052827832193403,0.5003816861932165,-0.4300831625006328
STL,-0.03383761556557513,0.3312949623633413,0.36169739956063607,0.21772042114140117,0.3275773275790703,-0.22892763324332896,0.299572390582155,0.26171591544970235,0.06721096591434102,0.16468364300165134,0.2406041913634245,-0.04227388661428216,-0.32843722917564433,-0.2650064221133855,-0.3026608848784627,0.6246537350689837,1.0,-0.2637835348696868,0.4515243420289073,-0.1949091183979652
BLK,0.1255870084625806,-0.0664429728155621,0.23680241343833397,0.33022385130553267,-0.0006941467484902251,0.6757262484937766,0.23440222259044788,0.4211667243635957,-0.5412539600227897,-0.48828770017173884,-0.5179966547704654,-0.2560876512445697,0.742340873937115,0.7727074576479036,0.7909287770918781,-0.32052827832193403,-0.2637835348696868,1.0,0.11675211848771394,0.3706175284416861
TO,-0.051218320915471356,0.3169040648992994,0.34330391218054795,0.14020493945531953,0.15799777578626023,-0.016608637041643896,0.539411289963451,0.5249129380318701,-0.024147762804920633,-0.10559659349245938,-0.05977255123778221,0.09533252340653199,-0.12852466775921925,0.030852651417586426,-0.02843047357525604,0.5003816861932165,0.4515243420289073,0.11675211848771394,1.0,0.07029692166477707
PF,-0.02837237788146988,-0.3876090168320951,-0.1502327933412021,-0.11718791396205785,-0.23565217266180669,0.25830103934320875,0.032845458243640054,0.11582903939119174,-0.2545168176385764,-0.2548500152672545,-0.2713270121327523,-0.06736764116498382,0.4118997653522607,0.43069665919696165,0.4347591461032276,-0.4300831625006328,-0.1949091183979652,0.3706175284416861,0.07029692166477707,1.0
